setting,method,duration,error,coef_conventional,coef_robust,coef_bias_corrected,se_conventional,se_robust,se_bias_corrected,ci_0025_conventional,ci_0025_robust,ci_0025_bias_corrected,rep,rep_seed,setting_param_fuzzy,setting_data_remove_unexplained,setting_data_subrule,setting_data_score,setting_data_covariates,ci_0975_conventional,ci_0975_robust,ci_0975_bias_corrected
yieldimprovement_fuzzy_explained,rdrobust,0.05976510047912598,,0.112806210377338,0.10811890194321862,0.10811890194321862,0.04748130156744018,0.0526564813418734,0.04748130156744018,0.019744569366070025,0.004914094960541418,0.015057260931950645,85,520597901,True,True,False,yieldimprovement,[],0.20586785138860597,0.2113237089258958,0.2011805429544866
boundarymindist_fuzzy_unexplained,rdrobustnocovs,0.03185844421386719,,0.09617220796745753,0.02422667142545165,0.02422667142545165,0.04349777578566847,0.06006559699674343,0.04349777578566847,0.010918134019948872,-0.09349973539806271,-0.061027402522057,78,941831014,True,False,False,boundarymindist,[],0.18142628191496618,0.14195307824896602,0.1094807453729603
yieldimprovement_intent2treat_explained,rdflex_global_linear,0.44982266426086426,,0.12838142240252653,0.13105076976775187,0.13105076976775187,0.0468276832908747,0.0468276832908747,0.05417923912470424,0.03660084967296405,0.024861412373548164,0.03927019703818939,69,2829083382,False,True,False,yieldimprovement,[],0.220161995132089,0.23724012716195558,0.22283134249731434
distance_fuzzy_explained,oracle_kernel,1.4528796672821045,,0.15887818077022034,,,,,,,,,52,1471467827,True,True,False,distance,[],,,
yieldimprovement_fuzzy_explained,rdrobust,0.06172776222229004,,0.103019652269837,0.07945420782410052,0.07945420782410052,0.08589227526773953,0.10272010141058582,0.08589227526773953,-0.0653261138051329,-0.1218734914289497,-0.08889155825086938,58,2773118945,True,True,False,yieldimprovement,[],0.2713654183448069,0.2807819070771507,0.24779997389907044
boundarymindist_fuzzy_unexplained,rdrobustnocovs,0.03333449363708496,,0.06525131464809968,0.009080147752941962,0.009080147752941962,0.06297382788978112,0.07880543663941454,0.06297382788978112,-0.058175119984495316,-0.1453756698462637,-0.11434628687965304,61,1498151398,True,False,False,boundarymindist,[],0.18867774928069467,0.16353596535214765,0.13250658238553695
boundarymindist_intent2treat_explained,oracle_kernel,1.8854005336761475,,0.13681212410725896,,,,,,,,,91,1334706736,False,True,False,boundarymindist,[],,,
distance_fuzzy_explained,rdrobustnocovs,0.02803969383239746,,0.025519470501251605,0.01208541235627671,0.01208541235627671,0.04909688823050807,0.05623263955040234,0.04909688823050807,-0.07070866218353267,-0.0981285359181345,-0.08414272032850757,97,2652205589,True,True,False,distance,[],0.12174760318603589,0.12229936063068791,0.10831354504106099
yieldimprovement_intent2treat_explained_subrule,rdrobustnocovs,0.0,cutoff out of score range,,,,,,,,,,5,2395494589,False,True,True,yieldimprovement,[],,,
yieldimprovement_intent2treat_explained,oracle_neighbour,2.4318695068359375e-05,,0.09800000000000009,,,,,,,,,60,1158630380,False,True,False,yieldimprovement,[],,,
boundarymindist_fuzzy_unexplained,oracle_kernel,1.8828535079956055,,0.13907038954567358,,,,,,,,,37,29749431,True,False,False,boundarymindist,[],,,
boundarymindist_intent2treat_unexplained,rdflex_global_linear,0.4717578887939453,,0.06292984228057333,0.05082800281738543,0.05082800281738543,0.04478369219052215,0.04478369219052215,0.05261510887171191,-0.024844581507577762,-0.0522957156138238,-0.03694642097076566,80,3170441909,False,False,False,boundarymindist,[],0.15070426606872442,0.15395172124859466,0.1386024266055365
distance_intent2treat_explained,rdflex_local_linear,0.4957091808319092,,0.0485041374373799,0.03835493981552851,0.03835493981552851,0.04027314768739445,0.04027314768739445,0.04803068661320922,-0.030429781573975787,-0.05578347609909168,-0.040578979195827175,78,941831014,False,True,False,distance,[],0.12743805644873557,0.1324933557301487,0.1172888588268842
yieldimprovement_intent2treat_explained,rdflex_lgbm,2.2851555347442627,,0.07249746476395841,0.046101185836076544,0.046101185836076544,0.07221554045030595,0.07221554045030595,0.08530530983247238,-0.0690423936427367,-0.12109414912559986,-0.09543867257061857,97,2652205589,False,True,False,yieldimprovement,[],0.21403732317065352,0.21329652079775296,0.18764104424277167
boundarypoint,rdflex_lgbm,3.0721468925476074,,0.40648056871594845,0.4078285245457154,0.4078285245457154,0.10073202786166968,0.10073202786166968,0.10072015999257927,0.2090494220173906,0.21042063844314798,0.21039737784715754,38,2999304840,True,True,False,boundarypoint,[],0.6039117154145063,0.6052364106482828,0.6052596712442733
yieldimprovement_intent2treat_explained_subrule,rdrobust,0.0,cutoff out of score range,,,,,,,,,,35,2617095959,False,True,True,yieldimprovement,[],,,
yieldimprovement_intent2treat_explained_subrule,oracle_neighbour,0.0,cutoff out of score range,,,,,,,,,,44,1760751290,False,True,True,yieldimprovement,[],,,
boundarypoint,rdrobustnocovs,0.02417612075805664,,0.2725425395681175,0.2960084105817092,0.2960084105817092,0.34664585891624455,0.3764848077236232,0.34664585891624455,-0.4068708592976746,-0.4418882532830794,-0.3834049882840829,19,65668574,True,True,False,boundarypoint,[],0.9519559384339096,1.0339050744464977,0.9754218094475013
yieldimprovement_intent2treat_explained_subrule,rdrobustnocovs,0.002318143844604492,Matrix is not positive definite,,,,,,,,,,48,3097302936,False,True,True,yieldimprovement,[],,,
yieldimprovement_intent2treat_explained_subrule,rdflex_local_linear,0.0016942024230957031,Matrix is not positive definite,,,,,,,,,,22,1572183024,False,True,True,yieldimprovement,[],,,
distance_intent2treat_explained_subrule,rdflex_global_linear,0.001802682876586914,Matrix is not positive definite,,,,,,,,,,47,1940935336,False,True,True,distance,[],,,
distance_intent2treat_explained,rdrobustnocovs,0.029699087142944336,,0.030152715924728013,0.01658422014751737,0.01658422014751737,0.04787045608344892,0.05746776324102223,0.04787045608344892,-0.0636716539223382,-0.096050526076961,-0.07724014969954884,94,4106545058,False,True,False,distance,[],0.12397708577179423,0.12921896637199576,0.11040858999458358
yieldimprovement_intent2treat_explained_subrule,oracle_neighbour,2.4080276489257812e-05,,0.29000000000000004,,,,,,,,,53,1722995083,False,True,True,yieldimprovement,[],,,
distance_fuzzy_explained,rdflex_global_linear,0.632498025894165,,0.022754744603192774,0.020646359316051268,0.020646359316051268,0.04987196907300224,0.04987196907300224,0.056351618292520236,-0.07499251861798703,-0.08980078300783689,-0.07710090390512854,94,4106545058,True,True,False,distance,[],0.12050200782437259,0.13109350163993944,0.11839362253723108
boundarymindist_intent2treat_explained,rdflex_lgbm,2.199162006378174,,0.12052935331951278,0.11205117625676167,0.11205117625676167,0.06302850877413191,0.06302850877413191,0.07340973818344095,-0.003004253877052554,-0.03182926669729738,-0.011482430939803667,41,708335512,False,True,False,boundarymindist,[],0.24406296051607812,0.25593161921082075,0.235584783453327
distance_intent2treat_explained,oracle_neighbour,2.384185791015625e-05,,0.1033333333333335,,,,,,,,,46,606924150,False,True,False,distance,[],,,
boundarymindist_intent2treat_explained,rdrobust,0.07480669021606445,,0.042033269207614896,0.005554107415655699,0.005554107415655699,0.06269702309768808,0.07304023008749384,0.06269702309768808,-0.08085063800172965,-0.13760211297835107,-0.11732979979368885,18,214521254,False,True,False,boundarymindist,[],0.16491717641695944,0.14871032780966248,0.12843801462500024
distance_intent2treat_explained,rdflex_global_linear,0.4841327667236328,,0.11994346677631366,0.12203095776718081,0.12203095776718081,0.029292684877534125,0.029292684877534125,0.035143022280481176,0.0625308594058657,0.053151899789549026,0.06461835039673285,68,679280932,False,True,False,distance,[],0.17735607414676163,0.1909100157448126,0.17944356513762877
distance_intent2treat_explained,rdrobust,0.12858128547668457,,0.11025628102323132,0.10518983871279253,0.10518983871279253,0.028312428734757384,0.03340118474081216,0.028312428734757384,0.054764940388249916,0.03972471957983187,0.049698498077811126,37,29749431,False,True,False,distance,[],0.16574762165821272,0.17065495784575319,0.16068117934777393
distance_intent2treat_explained,rdrobust,0.10155320167541504,,0.10664457485352649,0.10911619943088327,0.10911619943088327,0.03583260230042015,0.041851452048551376,0.03583260230042015,0.0364139648723559,0.02708886071501751,0.03888558944971268,54,3470423038,False,True,False,distance,[],0.17687518483469708,0.19114353814674903,0.17934680941205386
yieldimprovement_intent2treat_explained,rdflex_stacking_lgbm,9.982084035873413,,0.03776961802499261,0.02845117384941393,0.02845117384941393,0.060560909392012224,0.060560909392012224,0.07334769679542759,-0.08092758325434485,-0.1153076702185881,-0.09024602742992352,22,1572183024,False,True,False,yieldimprovement,[],0.15646681930433007,0.17221001791741594,0.1471483751287514
boundarypoint,oracle_kernel,2.205198049545288,,0.06125215674915209,,,,,,,,,74,3519764357,True,True,False,boundarypoint,[],,,
yieldimprovement_fuzzy_explained,rdflex_global_linear,0.6719379425048828,,0.06290443167816047,0.02963241047992806,0.02963241047992806,0.09839985498375756,0.09839985498375756,0.11339900681207482,-0.1299557401739685,-0.19262555875435083,-0.16322776137220088,67,1017245192,True,True,False,yieldimprovement,[],0.2557646035302894,0.25189037971420697,0.22249258233205702
boundarymindist_fuzzy_unexplained,oracle_neighbour,2.5272369384765625e-05,,0.10818181818181816,,,,,,,,,97,2652205589,True,False,False,boundarymindist,[],,,
